neighbourhood,latitude,longitude,room_type,price,stars
Brnshj-Husum,55.7039,12.48486,Entire home/apt,1000,3
sterbro,55.72969,12.56869,Entire home/apt,1195,4
Frederiksberg,55.6803,12.55049,Entire home/apt,1600,3
Nrrebro,55.69052,12.56179,Private room,425,4
Nrrebro,55.69209,12.55893,Private room,499,5
Frederiksberg,55.68556,12.50432,Entire home/apt,1050,1
Frederiksberg,55.67466,12.54907,Entire home/apt,1795,4
Amager Vest,55.66404,12.5961,Entire home/apt,2775,5
Nrrebro,55.69313,12.54502,Entire home/apt,1500,1
Amager st,55.6635,12.60212,Entire home/apt,868,2
Brnshj-Husum,55.70737,12.47825,Entire home/apt,1486,5
sterbro,55.70743,12.57258,Entire home/apt,900,2
Nrrebro,55.70321,12.54016,Entire home/apt,1151,2
Indre By,55.672,12.59313,Entire home/apt,1643,5
Vesterbro-Kongens Enghave,55.66569,12.55177,Entire home/apt,1089,5
Frederiksberg,55.68448,12.55379,Entire home/apt,1116,4
Amager Vest,55.66627,12.57703,Entire home/apt,1450,1
Nrrebro,55.69422,12.54812,Entire home/apt,868,1
Indre By,55.68889,12.57177,Entire home/apt,2232,3
Nrrebro,55.69253,12.54412,Entire home/apt,707,5
Indre By,55.68551,12.56657,Entire home/apt,1042,1
Amager Vest,55.63531,12.58311,Entire home/apt,875,3
Valby,55.64499,12.5014,Entire home/apt,700,3
Indre By,55.68296,12.56457,Entire home/apt,1600,3
Amager Vest,55.66408,12.59549,Private room,728,1
Frederiksberg,55.67229,12.53315,Entire home/apt,950,3
Vesterbro-Kongens Enghave,55.66564,12.54368,Entire home/apt,425,3
sterbro,55.71704,12.57857,Entire home/apt,2500,1
Vesterbro-Kongens Enghave,55.66949,12.54645,Entire home/apt,975,4
Indre By,55.69165,12.57339,Entire home/apt,2000,2
Indre By,55.68422,12.59268,Entire home/apt,2314,1
Amager st,55.66142,12.62147,Entire home/apt,1395,5
sterbro,55.70913,12.57266,Entire home/apt,1331,1
Frederiksberg,55.67735,12.53652,Entire home/apt,1145,3
Vesterbro-Kongens Enghave,55.66944,12.54595,Entire home/apt,343,4
sterbro,55.71038,12.55651,Entire home/apt,1155,5
Indre By,55.68643,12.5861,Entire home/apt,1850,5
Amager st,55.65923,12.61653,Entire home/apt,1488,5
Nrrebro,55.68941,12.55939,Entire home/apt,1000,4
Frederiksberg,55.68615,12.53861,Entire home/apt,595,4
Nrrebro,55.68506,12.55511,Entire home/apt,950,4
Nrrebro,55.69322,12.54549,Entire home/apt,950,5
Amager st,55.65755,12.6283,Private room,136,1
Indre By,55.68579,12.56774,Entire home/apt,1100,4
Nrrebro,55.69774,12.54353,Entire home/apt,650,1
Nrrebro,55.70135,12.54697,Entire home/apt,1150,5
Nrrebro,55.6964,12.55341,Entire home/apt,989,2
Nrrebro,55.68594,12.55136,Entire home/apt,1000,2
Nrrebro,55.6949,12.53912,Entire home/apt,650,2
Vesterbro-Kongens Enghave,55.64661,12.54846,Entire home/apt,995,5
sterbro,55.708485,12.584374,Entire home/apt,1300,4
Valby,55.66032,12.51787,Entire home/apt,700,1
Indre By,55.68561,12.57079,Entire home/apt,850,2
Vesterbro-Kongens Enghave,55.6462,12.53353,Entire home/apt,770,2
sterbro,55.70401,12.58596,Entire home/apt,650,2
Frederiksberg,55.67649,12.53673,Entire home/apt,2000,3
Nrrebro,55.70125,12.548,Entire home/apt,890,1
sterbro,55.70781,12.59682,Entire home/apt,1495,3
Nrrebro,55.68856,12.55862,Entire home/apt,600,1
Amager st,55.65316,12.63759,Entire home/apt,1900,3
Nrrebro,55.69043,12.54409,Entire home/apt,1500,2
Frederiksberg,55.68937,12.52999,Entire home/apt,750,2
Vesterbro-Kongens Enghave,55.66771,12.54781,Private room,500,2
Valby,55.65796,12.51698,Entire home/apt,483,2
Nrrebro,55.69339,12.56366,Entire home/apt,1200,5
Frederiksberg,55.67654,12.51388,Entire home/apt,1200,2
Nrrebro,55.68711,12.56092,Entire home/apt,1500,4
Nrrebro,55.70074,12.54534,Entire home/apt,1100,2
Nrrebro,55.689,12.56133,Entire home/apt,500,2
Frederiksberg,55.67715,12.55093,Entire home/apt,1200,2
Indre By,55.68083,12.56881,Entire home/apt,1150,4
Nrrebro,55.69336,12.55946,Entire home/apt,750,1
Indre By,55.67994,12.56637,Entire home/apt,1600,5
Amager st,55.66354,12.60168,Entire home/apt,600,5
Vanlse,55.68929,12.47038,Entire home/apt,1100,5
Vesterbro-Kongens Enghave,55.67393,12.55023,Entire home/apt,750,3
Amager Vest,55.63335,12.58912,Private room,400,2
Vesterbro-Kongens Enghave,55.6451,12.5317,Entire home/apt,900,2
Frederiksberg,55.67142,12.53477,Entire home/apt,818,3
Frederiksberg,55.67234,12.54259,Entire home/apt,750,3
Nrrebro,55.70344,12.54564,Entire home/apt,550,2
Indre By,55.69384,12.58041,Entire home/apt,712,3
sterbro,55.70277,12.58343,Entire home/apt,1564,1
sterbro,55.69821,12.57975,Entire home/apt,1100,4
Bispebjerg,55.71296,12.51847,Entire home/apt,1050,4
Vesterbro-Kongens Enghave,55.66414,12.54166,Entire home/apt,1000,5
Nrrebro,55.69062,12.56453,Private room,500,4
Valby,55.66526,12.51397,Entire home/apt,650,5
